Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,
1995,,,,,,,2.45,2.467,2.459,2.467,2.487,2.502,
1996,2.526,2.537,2.513,2.516,2.517,2.548,2.611,2.61,2.661,2.701,2.742,2.731,
1997,2.66,2.607,2.612,2.625,2.633,2.604,2.588,2.575,2.54,2.593,2.627,2.632,
1998,2.627,2.656,2.659,2.661,2.63,2.601,2.56,2.678,2.712,2.72,2.739,2.796,
1999,2.863,2.924,2.909,2.709,2.701,2.715,2.699,2.695,2.779,2.805,2.814,2.85,
2000,2.787,2.766,2.792,2.748,2.735,2.697,2.737,2.724,2.739,2.722,,,
2007,,,,,3.136,3.389,3.601,3.739,3.773,3.767,3.819,3.81,
2008,3.812,3.82,3.708,3.747,3.683,3.686,3.887,3.833,3.81,3.764,3.804,3.721,
2009,3.575,3.311,3.112,3.129,3.103,3.068,3.061,3.023,3.035,3.073,3.085,3.159,
2010,3.222,3.222,3.203,3.185,3.11,3.296,3.274,3.275,3.211,3.262,3.24,3.235,
2011,3.239,3.285,3.411,3.48,3.511,3.521,3.595,3.606,3.6,3.57,,,
2014,,,,,,3.902,3.923,3.9,3.951,3.957,3.956,3.958,
2015,3.888,3.67,3.734,3.66,3.696,3.654,3.689,3.67,3.617,3.624,,,
2016,,,,,,3.414,3.404,3.449,3.479,3.481,3.545,3.592,
2017,3.611,3.544,3.564,3.585,3.515,3.527,3.574,3.559,3.563,3.54,3.576,3.604,
2018,3.404,3.39,3.304,3.334,3.354,,,,,,,,
2019,,,,,,,,,,3.648,3.5,3.613,
2020,3.696,3.613,3.59,3.639,3.61,3.57,3.739,3.88,3.905,,,4.119,
2021,4.038,3.931,3.912,3.978,3.848,3.946,3.971,3.935,3.949,3.981,3.998,4.084,
2022,4.151,4.307,4.338,4.588,4.669,4.611,4.565,4.553,4.504,4.441,4.502,4.514,
2023,4.509,4.438,4.403,4.345,4.331,4.317,4.295,4.238,4.31,4.356,4.373,4.458,
2024,4.434,4.438,4.355,4.395,4.375,4.389,4.422,4.488,4.443,4.42,,,
