Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,
1980,1.969,1.957,1.96,1.994,1.972,2.012,1.997,2.053,1.997,2.012,2.104,2.151,
1981,2.2,2.188,2.235,2.309,2.288,2.347,2.284,2.347,2.308,2.37,2.454,2.35,
1982,2.408,2.482,2.432,2.449,2.465,2.397,2.45,2.458,2.407,2.43,2.383,2.438,
1983,2.476,2.473,2.518,2.543,2.538,2.457,2.485,2.525,2.538,2.415,2.517,2.52,
1984,2.544,2.565,2.5,2.509,2.628,2.608,2.62,2.651,2.639,2.665,2.667,2.678,
1985,2.713,2.664,2.659,2.688,2.66,2.649,2.648,2.714,2.611,2.682,2.673,2.666,
1986,2.614,2.687,2.706,2.7,2.711,2.76,2.699,2.743,2.711,2.645,2.72,2.701,
1987,2.603,,2.677,2.704,2.688,2.774,2.649,2.609,2.618,2.633,2.646,2.541,
1988,2.361,2.453,2.437,2.43,2.422,2.39,2.435,2.433,2.456,2.47,2.468,2.502,
1989,2.66,2.816,2.876,2.97,2.94,2.954,2.815,2.829,2.832,2.705,2.832,2.927,
1990,2.798,2.904,2.86,2.89,2.854,2.979,2.911,2.834,2.829,2.891,2.962,2.952,
1991,2.854,3.029,2.857,2.866,2.91,3.023,2.881,2.794,2.751,2.834,2.949,2.87,
1992,2.751,2.739,2.834,2.77,2.704,2.782,2.827,2.848,2.77,2.846,2.707,2.621,
1993,2.667,2.828,2.849,2.879,2.723,2.826,2.866,3.034,2.794,2.906,2.878,2.715,
1994,2.831,3.166,3.053,3.077,2.912,2.979,3.005,3.104,3.035,2.997,,,
1996,,,,,,2.963,2.845,2.955,2.848,2.976,2.771,2.806,
1997,2.834,2.916,2.952,3.011,2.748,2.912,2.886,2.881,2.856,2.942,2.885,3.103,
1998,2.905,2.912,2.831,2.96,2.824,2.839,2.639,2.898,2.803,2.973,2.962,2.994,
1999,3.136,3.047,3.202,3.04,3.007,3.045,2.961,3.183,2.938,,3.398,3.428,
2000,3.294,3.391,3.383,3.367,,,,,,,,,
2003,,,,,,,,,,,,3.295,
2004,,,,,,,,,,,3.096,3.218,
2005,3.079,3.49,3.25,3.675,3.404,3.547,3.611,3.169,3.213,3.18,3.532,3.586,
2006,3.509,3.423,3.739,3.387,3.726,3.537,3.482,3.59,3.545,3.606,3.398,3.327,
2007,3.61,3.424,3.55,3.77,3.807,3.997,3.827,4.073,4.017,4.158,3.97,4.285,
2008,4.159,4.33,4.349,4.253,4.358,4.442,4.488,4.43,4.758,4.622,4.757,5.152,
2009,4.898,5.032,4.79,4.786,4.749,5.031,4.539,4.75,4.89,5.015,4.978,4.988,
2010,4.905,4.769,4.841,4.741,4.875,4.83,4.683,4.892,4.586,4.886,4.55,4.542,
2011,4.709,4.703,4.702,4.892,,4.486,4.67,4.743,4.571,,,,
2012,,,,,,4.889,4.463,4.729,4.737,4.616,4.78,4.593,
2013,4.887,4.664,4.654,4.619,4.567,4.063,4.64,4.731,4.382,4.455,4.536,4.633,
2014,4.31,4.531,4.525,4.432,4.314,4.222,4.367,4.269,4.209,4.193,4.474,4.612,
2015,4.417,4.462,4.493,4.466,4.45,4.469,4.579,4.443,4.714,4.658,4.595,4.615,
2016,4.714,4.714,4.848,4.775,4.552,4.623,4.535,4.6,4.577,4.623,4.614,4.423,
2017,4.582,4.452,4.473,4.464,4.502,4.517,4.502,4.493,4.527,4.709,4.706,4.547,
2018,3.839,3.767,3.918,3.902,3.92,3.903,3.828,3.816,3.794,3.88,4.151,3.625,
2019,3.806,3.91,3.964,3.759,3.683,3.705,3.77,3.654,3.8,3.515,3.972,3.83,
2020,3.934,3.78,,4.111,4.115,4.406,4.412,4.306,4.38,4.286,4.494,4.433,
2021,4.226,4.234,4.275,4.193,4.239,4.269,4.325,4.289,4.622,4.581,4.542,4.473,
2022,4.438,4.582,4.77,4.945,5.042,5.232,5.197,5.152,5.259,5.662,5.562,5.545,
2023,5.662,5.645,5.847,5.843,5.627,5.637,5.714,5.786,5.848,6.084,5.979,5.611,
2024,6.012,5.752,5.965,5.782,6.293,6.306,6.02,5.711,6.037,6.211,6.028,5.982,
