Year,Value
1980,5.38
1981,5.59
1982,5.42
1983,5.23
1984,5.01
1985,4.81
1986,4.95
1987,4.75
1988,4.32
1989,3.97
1990,3.87
1991,4.30
1992,4.70
1993,5.04
1994,6.03
1995,6.10
1996,5.53
1997,5.58
1998,5.12
1999,4.81
2000,4.93
2001,4.71
2002,4.56
2003,3.94
2004,3.72
2005,3.49
2006,4.28
2007,4.76
2008,4.17
2009,4.13
2010,4.20
2011,4.44
2012,4.67
2013,5.03
2014,5.78
2015,5.47
2016,5.96
2017,6.57
2018,7.34
2019,8.46
2020,7.90
2021,7.33
2022,7.23
2023,7.04
2024,7.51
