Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1980,0.952,0.821,0.874,0.864,0.803,0.801,0.841,0.994,0.98,0.943,0.994,1.124
1981,1.024,0.995,0.941,0.998,0.912,0.926,0.946,0.957,1.025,0.991,1.03,1.057
1982,1.034,1.1,1.059,0.965,0.937,0.862,0.944,0.878,0.938,0.947,0.959,0.901
1983,0.895,0.852,0.913,0.887,0.94,0.892,0.93,0.98,1.022,1.054,1.097,1.234
1984,1.397,1.423,1.274,1.334,1.143,1.004,0.968,0.939,0.946,0.933,0.942,0.983
1985,0.839,0.855,0.914,0.888,0.85,0.812,0.865,0.903,0.955,0.948,0.976,1.013
1986,1.008,0.99,1.011,1.018,0.941,0.944,0.929,1.005,0.977,0.98,1.011,1.036
1987,1.001,0.948,0.955,0.93,0.917,0.876,0.887,0.857,0.911,0.881,0.924,0.856
1988,0.897,0.826,0.854,0.855,0.8,0.835,0.914,1.006,0.992,1.018,0.994,0.999
1989,1.023,1.033,1.106,1.144,1.101,1.103,1.128,1.159,1.197,1.197,1.221,1.285
1990,1.356,1.244,1.263,1.288,1.156,1.094,1.055,1.132,1.143,1.182,1.202,1.164
1991,1.3,1.202,1.282,1.248,1.163,1.107,1.135,1.176,1.146,1.134,1.126,1.196
1992,1.138,1.101,1.046,1.052,1.027,1.035,0.995,1,1.056,1.04,1.086,1.077
1993,1.083,1.07,1.085,1.154,1.135,1.145,1.1,1.074,1.113,1.139,1.144,1.086
1994,1.128,1.128,1.133,1.063,1.011,1.086,1.02,1.14,1.076,1.111,1.112,1.124
1995,1.115,1.109,1.121,1.103,1.054,1.1,1.113,1.211,1.177,1.167,1.206,1.323
1996,1.33,1.3,1.32,1.263,1.287,0.844,1.255,1.249,1.282,1.274,1.27,1.348
1997,1.312,1.315,1.273,1.281,1.257,1.206,1.214,1.251,1.217,1.199,1.205,1.297
1998,1.205,1.172,1.195,1.15,1.085,1.106,1.127,1.166,1.153,1.163,1.199,1.223
1999,1.177,1.208,1.146,1.119,1.062,1.118,1.072,1.164,1.134,1.057,1.106,1.011
2000,1.104,1.111,1.073,1.077,0.767,0.796,0.772,0.818,0.819,0.856,0.627,0.626
2001,0.654,0.645,0.635,1.016,0.802,0.824,0.806,0.838,0.838,0.872,0.925,0.929
2002,0.919,0.938,1.166,1.2,1.098,0.936,0.919,1.142,1.344,1.362,1.415,1.478
2003,1.419,1.484,1.478,1.499,1.045,1.578,1.57,1.675,1.733,1.723,1.844,1.984
2004,1.959,2.015,2.084,2.119,1.804,1.642,1.582,1.678,1.49,1.573,1.566,1.564
2005,1.566,1.617,1.565,1.56,1.596,1.555,1.59,1.54,1.679,1.666,1.658,1.666
2006,1.763,1.683,1.541,1.589,1.555,,,,,,,
2016,,,,,2.109,1.823,1.933,1.939,1.773,1.83,1.751,1.743
2017,1.881,1.963,1.793,1.816,2.074,2.027,1.953,2.026,1.911,2.087,2.089,2.331
2018,2.342,2.228,2.578,2.514,2.465,2.254,2.343,2.177,2.18,2.162,2.142,2.146
2019,2.046,2.059,2.055,2.023,,,,,,1.679,,2.012
2020,1.88,1.87,1.9,2.383,,,,,,,,
2021,,,,,,,,,,,1.914,1.986
2022,1.999,2.146,2.221,2.855,3.113,2.926,3.295,3.442,3.136,4.015,4.172,4.788
2023,5.272,4.776,4.033,3.907,3.359,2.642,2.414,2.331,2.348,2.27,2.456,2.811
2024,2.877,3.348,3.385,3.328,3.211,3.164,3.433,3.553,4.111,3.717,,
