Year,Value
1968,1.40
1969,1.40
1970,1.50
1971,1.50
1972,1.50
1973,1.50
1974,1.50
1975,1.50
1976,2.20
1977,2.20
1978,2.20
1979,2.50
1980,3.10
1981,3.35
1982,3.35
1983,3.35
1984,3.35
1985,3.35
1986,3.35
1987,3.35
1988,3.35
1989,3.35
1990,3.35
1991,3.80
1992,4.25
1993,4.25
1994,5.05
1995,5.05
1996,5.05
1997,5.05
1998,5.05
1999,5.05
2000,5.15
2001,5.15
2002,5.15
2003,5.15
2004,5.15
2005,5.15
2006,6.15
2007,7.15
2008,7.15
2009,7.15
2010,7.25
2011,7.25
2012,7.25
2013,7.25
2014,8.25
2015,8.38
2016,8.38
2017,8.44
2018,8.60
2019,10.00
2020,11.00
2021,12.00
2022,13.00
2023,14.13
2024,15.13
2025,15.49
