Year,Value
1980,1.54
1981,1.45
1982,1.38
1983,1.34
1984,1.29
1985,1.26
1986,1.24
1987,1.26
1988,1.37
1989,1.18
1990,1.16
1991,1.32
1992,1.54
1993,1.50
1994,1.67
1995,1.68
1996,1.75
1997,1.73
1998,1.75
1999,1.62
2000,1.53
2001,1.50
2002,1.53
2003,1.56
2004,1.63
2005,1.52
2006,1.75
2007,1.85
2008,1.59
2009,1.47
2010,1.52
2011,1.55
2012,1.55
2013,1.59
2014,1.89
2015,1.85
2016,1.81
2017,1.86
2018,2.23
2019,2.64
2020,2.59
2021,2.75
2022,2.54
2023,2.45
2024,2.52
