Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,
1980,1.981,1.994,2.003,2.006,2.006,2.018,2.012,2.046,2.035,2.066,2.138,2.176,
1981,2.203,2.195,2.229,2.277,2.271,2.295,2.256,2.293,2.301,2.324,2.375,2.338,
1982,2.38,2.413,2.391,2.38,2.4,2.385,2.394,2.424,2.4,2.431,2.388,2.395,
1983,2.441,2.486,2.508,2.52,2.536,2.472,2.475,2.524,2.54,2.5,2.515,2.526,
1984,2.492,2.564,2.516,2.52,2.558,2.561,2.577,2.6,2.613,2.628,2.592,2.58,
1985,2.602,2.609,2.609,2.629,2.615,2.607,2.615,2.601,2.558,2.596,2.598,2.631,
1986,2.61,2.608,2.625,2.621,2.622,2.708,2.644,2.72,2.701,2.752,2.742,2.749,
1987,2.754,2.786,2.808,2.804,2.776,2.801,2.785,2.717,2.701,2.674,2.734,2.674,
1988,2.631,2.597,2.604,2.58,2.598,2.572,2.616,2.617,2.636,2.62,2.662,2.699,
1989,2.711,2.876,2.906,2.95,2.94,2.883,2.842,2.855,2.824,2.824,2.862,2.853,
1990,2.866,2.947,2.962,2.984,2.94,2.951,2.945,2.949,2.98,3.032,2.971,2.971,
1991,2.99,2.982,2.954,2.96,2.937,3.062,2.929,2.939,2.901,3.021,2.93,2.954,
1992,2.942,2.914,2.943,2.857,2.871,2.906,2.911,2.974,2.856,2.937,2.836,2.84,
1993,2.832,2.935,2.839,2.836,2.898,2.827,2.893,2.966,2.895,2.911,2.843,2.918,
1994,2.872,3.018,2.97,3.012,2.999,2.968,2.902,2.992,2.965,2.924,3.02,3.012,
1995,3.079,3.014,2.975,3.048,2.952,2.987,2.971,3.035,2.97,3.02,2.979,3.026,
1996,3.004,2.96,3.035,3.075,2.989,2.981,3.106,3.086,3.069,3.155,3.102,3.118,
1997,3.125,3.099,3.145,3.184,3.056,3.118,3.117,3.128,3.176,3.152,3.133,3.166,
1998,3.149,3.136,3.107,3.175,3.161,3.153,3.128,3.21,3.121,3.219,3.207,3.177,
1999,3.217,3.223,3.249,3.264,3.212,3.235,3.255,3.279,3.237,3.289,3.299,3.33,
2000,3.386,3.448,3.354,3.409,3.345,3.302,3.31,3.302,3.416,3.341,3.276,3.437,
2001,3.391,3.361,3.378,3.315,3.395,3.564,3.335,3.404,3.397,3.589,3.507,3.477,
2002,3.437,3.278,3.418,3.294,3.162,3.43,3.195,3.312,3.498,3.357,3.418,3.472,
2003,3.483,3.462,3.546,3.581,3.415,3.581,3.367,3.539,3.508,3.425,3.493,3.583,
2004,3.428,3.584,3.435,3.377,3.359,3.446,3.46,3.455,3.244,3.395,3.308,3.35,
2005,3.256,3.315,3.224,3.456,3.377,3.519,3.364,3.363,3.302,3.367,3.412,3.459,
2006,3.426,3.37,3.517,3.457,3.604,3.369,3.467,3.544,3.533,3.494,3.399,3.409,
2007,3.359,3.424,3.485,3.482,3.511,3.473,3.512,3.608,3.558,3.637,3.667,3.646,
2008,3.53,3.759,3.771,3.885,3.837,4.062,4.159,4.12,4.123,4.196,4.33,4.482,
2009,4.534,4.611,4.55,4.683,4.438,4.557,4.566,4.554,4.627,4.533,4.528,4.653,
2010,4.651,4.561,4.57,4.461,4.594,4.706,4.659,4.665,4.631,4.77,4.689,4.742,
2011,4.79,4.724,4.837,4.85,4.944,5.038,5.052,5.185,5.036,5.111,5.015,5.032,
2012,4.995,5.091,5.087,5.01,5.2,5.264,5.029,4.851,4.785,4.938,4.868,4.713,
2013,4.793,4.878,4.97,4.811,4.51,4.507,4.688,4.577,4.528,4.576,4.601,4.536,
2014,4.411,4.411,4.538,4.419,4.372,4.35,4.308,4.437,4.357,4.328,4.247,4.27,
2015,4.263,4.298,4.4,4.412,4.427,4.442,4.48,4.411,4.504,4.355,4.49,4.413,
2016,4.444,4.421,4.622,4.544,4.462,4.477,4.444,4.427,4.44,4.507,4.391,4.353,
2017,4.39,4.334,4.365,4.369,4.439,4.428,4.391,4.37,4.389,4.48,4.521,4.431,
2018,4.386,4.344,4.446,4.448,4.491,4.441,4.407,4.446,4.432,4.473,4.59,4.447,
2019,4.432,4.503,4.587,4.508,4.407,4.452,4.377,4.382,4.561,4.389,4.692,4.532,
2020,4.494,4.594,4.63,4.88,4.985,5.087,5.104,5.07,5.024,5.039,5.085,5.077,
2021,4.942,5.046,5.043,5.092,4.929,5.02,5.003,5.111,5.058,5.273,5.246,5.15,
2022,5.258,5.363,5.487,5.601,5.619,5.766,5.894,5.941,6.058,6.402,6.253,6.283,
2023,6.238,6.171,6.526,6.623,6.454,6.283,6.476,6.463,6.562,6.682,6.459,6.408,
2024,6.389,6.41,6.572,6.504,6.629,6.566,6.323,6.246,6.466,6.517,6.511,6.324,
